hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
50, 1800.00000, 9.16444, 15.2029, 7.57107, 29.4497, 6.67113, 9.61719, 0, 0
51, 0.00000, 8.25276, 15.8779, 6.91859, 27.841, 6.29554, 10.7004, 0, 0
51, 1800.00000, 10.1258, 14.3853, 8.86775, 27.7194, 7.61273, 12.3307, 0, 0
52, 0.00000, 10.4688, 12.1409, 9.92377, 26.6135, 7.90804, 15.7444, 0, 0
52, 1800.00000, 10.1666, 13.7122, 9.02672, 27.6838, 7.57852, 12.7476, 0, 0
53, 0.00000, 9.64587, 15.5697, 11.1761, 12.1563, 11.019, 20.6486, 0, 0
53, 1800.00000, 12.0479, 13.3662, 11.3321, 24.2969, 9.73196, 15.0037, 0, 0
54, 0.00000, 15.3616, 17.2723, 13.258, 24.7782, 12.8001, 12.5501, 0, 0
54, 1800.00000, 14.2346, 16.707, 12.6763, 24.136, 12.0016, 13.739, 0, 0
55, 0.00000, 19.6877, 13.7019, 16.2688, 31.446, 13.3553, 8.77204, 0, 0
55, 1800.00000, 24.2012, 14.5223, 20.8631, 29.1082, 17.6768, 11.7974, 0, 0
56, 0.00000, 30.106, 17.6821, 25.0577, 29.921, 22.8212, 12.1379, 0, 0
56, 1800.00000, 28.1264, 21.1822, 21.7387, 32.7365, 21.2893, 11.0724, 0, 0
57, 0.00000, 15.0298, 24.6983, 13.8505, 42.8283, 10.3825, 27.6865, 0, 0
57, 1800.00000, 7.10703, 40.1739, 8.92936, 56.5698, 6.19272, 64.2455, 0, 0
58, 0.00000, 5.08845, 79.4245, 7.20388, 89.6956, 5.51442, 104.941, 0, 0
58, 1800.00000, 5.23471, 143.435, 6.88365, 103.829, 9.3166, 130.207, 0, 0
59, 0.00000, 12.7932, 170.847, 9.01083, 157.741, 13.3321, 151.133, 0, 0
59, 1800.00000, 13.5094, 170.088, 9.5762, 156.391, 14.1928, 150.44, 0, 0
60, 0.00000, 11.4777, 164.283, 8.56935, 145.186, 12.9564, 144.78, 0, 0
60, 1800.00000, 13.2489, 173.028, 8.31772, 148.496, 14.9508, 146.653, 0, 0
61, 0.00000, 11.9961, 167.232, 8.13665, 145.953, 13.4307, 144.012, 0, 0
61, 1800.00000, 12.2448, 169.918, 7.34888, 146.253, 13.562, 142.498, 0, 0
62, 0.00000, 11.4465, 173.235, 6.18686, 147.477, 12.5971, 142.557, 0, 0
62, 1800.00000, 6.13737, 165.469, 4.98701, 110.006, 9.42421, 134.016, 0, 0
63, 0.00000, 2.78957, 82.6002, 5.9052, 46.3802, 6.79756, 82.3193, 0, 0
63, 1800.00000, 6.82151, 23.0607, 11.2056, 32.4575, 8.66348, 55.0061, 0, 0
64, 0.00000, 8.63383, 16.7633, 12.2092, 25.1244, 9.63037, 40.4849, 0, 0
64, 1800.00000, 18.5944, 18.6638, 16.7073, 24.2559, 16.2294, 15.5255, 0, 0
65, 0.00000, 26.352, 17.0968, 22.8757, 23.203, 22.5318, 12.2449, 0, 0
65, 1800.00000, 31.4331, 14.5602, 32.1584, 18.8147, 29.7382, 17.9361, 0, 0
66, 0.00000, 34.9326, 12.1673, 35.8945, 20.1597, 31.0701, 17.7851, 0, 0
66, 1800.00000, 33.8097, 11.3456, 35.6602, 19.5219, 30.4062, 18.6017, 0, 0
67, 0.00000, 37.9601, 9.99805, 39.2256, 21.6667, 31.6289, 17.969, 0, 0
67, 1800.00000, 35.8386, 11.8847, 35.4218, 22.3753, 29.8528, 16.435, 0, 0
68, 0.00000, 38.2697, 13.2014, 35.6129, 22.2996, 31.8571, 13.4517, 0, 0
68, 1800.00000, 36.1983, 13.2459, 35.6597, 18.7414, 32.9148, 15.1751, 0, 0
69, 0.00000, 31.6221, 12.4736, 31.2108, 21.0457, 27.2718, 16.0028, 0, 0
69, 1800.00000, 30.5154, 12.1829, 28.9156, 23.3374, 24.6266, 14.3927, 0, 0
70, 0.00000, 30.0759, 14.5469, 28.1378, 20.4519, 26.5357, 13.7779, 0, 0
70, 1800.00000, 31.0975, 14.5895, 29.6499, 19.146, 28.294, 14.2791, 0, 0
71, 0.00000, 26.5387, 14.156, 25.4164, 19.71, 23.7931, 14.5377, 0, 0
71, 1800.00000, 21.2512, 14.4717, 18.2263, 23.3161, 17.2679, 9.80675, 0, 0
72, 0.00000, 18.6982, 10.2799, 18.1039, 24.0517, 14.4617, 15.0205, 0, 0
72, 1800.00000, 13.1079, 8.91627, 13.0708, 23.9465, 10.0138, 16.2536, 0, 0
73, 0.00000, 10.7477, 14.8572, 9.93246, 24.4021, 8.84639, 14.8531, 0, 0
73, 1800.00000, 9.43148, 14.0485, 8.63185, 26.046, 7.38486, 14.3768, 0, 0
74, 0.00000, 11.5586, 13.4214, 10.277, 28.1222, 8.49381, 12.7765, 0, 0
74, 1800.00000, 11.2768, 13.5641, 9.89689, 28.5801, 8.20207, 12.138, 0, 0
75, 0.00000, 9.24057, 13.4807, 8.40465, 26.9722, 7.01005, 13.9438, 0, 0
75, 1800.00000, 8.51197, 14.4311, 7.8158, 25.4821, 6.79498, 14.6113, 0, 0
76, 0.00000, 10.7561, 15.6661, 9.17276, 27.3249, 8.28886, 11.4626, 0, 0
76, 1800.00000, 11.3392, 15.9107, 9.65893, 27.0519, 8.82015, 11.4961, 0, 0
77, 0.00000, 8.55559, 14.1418, 8.02753, 24.8557, 6.93208, 15.5342, 0, 0
77, 1800.00000, 10.6029, 9.71993, 10.9849, 25.1127, 8.2016, 19.9029, 0, 0
78, 0.00000, 12.9343, 12.3291, 11.6232, 28.9071, 9.16868, 12.9965, 0, 0
78, 1800.00000, 16.0458, 12.2877, 14.2411, 29.5802, 11.1603, 12.2879, 0, 0
79, 0.00000, 20.851, 14.1119, 17.1041, 31.2726, 14.3024, 8.58846, 0, 0
79, 1800.00000, 21.7873, 14.3371, 18.3894, 29.628, 15.6097, 10.3806, 0, 0
80, 0.00000, 25.5897, 14.4844, 21.9565, 30.0679, 18.2957, 11.6987, 0, 0
80, 1800.00000, 22.4681, 13.0801, 21.355, 32.4271, 15.2675, 18.8676, 0, 0
81, 0.00000, 20.9203, 19.7273, 19.5313, 31.0161, 16.7361, 21.048, 0, 0
81, 1800.00000, 21.0052, 22.3258, 20.7802, 27.7779, 19.1517, 24.4615, 0, 0
82, 0.00000, 15.981, 21.7112, 18.8997, 32.9143, 14.6525, 37.7909, 0, 0
82, 1800.00000, 10.8238, 33.0994, 11.39, 41.5181, 9.67926, 40.3365, 0, 0
