hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
56, 1800.00000, 29.9366, 37.8775, 13.9134, 22.2375, 29.7428, 4.79667, 0, 0
57, 0.00000, 18.1003, 45.2857, 7.31527, 46.2339, 15.6612, 8.89032, 0, 0
57, 1800.00000, 10.6003, 59.1167, 5.30382, 79.0365, 7.38318, 26.6664, 0, 0
58, 0.00000, 10.764, 91.7421, 5.39244, 143.101, 5.49699, 40.2044, 0, 0
58, 1800.00000, 8.77005, 117.91, 7.3293, 142.243, 5.11869, 114.508, 0, 0
59, 0.00000, 13.7527, 161.246, 10.4511, 169.499, 10.9689, 149.651, 0, 0
59, 1800.00000, 14.7589, 159.417, 11.2528, 169.805, 11.3645, 148.335, 0, 0
60, 0.00000, 13.2962, 150.676, 10.1631, 164.307, 9.67242, 140.15, 0, 0
60, 1800.00000, 12.7591, 162.66, 10.4219, 156.697, 12.7676, 150.851, 0, 0
61, 0.00000, 13.017, 156.701, 9.40673, 160.616, 11.0097, 141.831, 0, 0
61, 1800.00000, 12.5437, 162.138, 8.43063, 156.482, 11.8801, 142.402, 0, 0
62, 0.00000, 10.3983, 167.602, 7.71927, 149.239, 11.6302, 148.147, 0, 0
62, 1800.00000, 5.67985, 143.636, 6.40108, 129.003, 7.34608, 140.806, 0, 0
63, 0.00000, 5.08628, 73.0487, 4.52509, 68.5333, 5.15163, 65.5024, 0, 0
63, 1800.00000, 9.87728, 35.2136, 8.46617, 45.766, 7.78011, 31.0055, 0, 0
64, 0.00000, 10.8358, 25.3823, 10.0105, 32.8499, 9.25636, 24.5322, 0, 0
64, 1800.00000, 19.6256, 33.0562, 12.2939, 16.2762, 20.6452, 8.46656, 0, 0
65, 0.00000, 28.0907, 30.6765, 16.7642, 16.4951, 28.5371, 5.07369, 0, 0
65, 1800.00000, 34.3577, 20.8124, 27.726, 20.345, 31.798, 10.1756, 0, 0
66, 0.00000, 38.1147, 18.6651, 30.9415, 22.0161, 33.3902, 9.42456, 0, 0
66, 1800.00000, 35.869, 14.9013, 32.9688, 21.1436, 31.2425, 13.2814, 0, 0
67, 0.00000, 41.778, 15.9917, 34.1426, 24.8922, 33.4921, 8.57172, 0, 0
67, 1800.00000, 39.651, 20.0262, 29.1671, 24.7628, 33.2737, 6.15825, 0, 0
68, 0.00000, 42.2069, 20.8883, 29.3455, 24.4293, 35.7319, 4.13021, 0, 0
68, 1800.00000, 39.7206, 19.9419, 30.2879, 20.4522, 35.714, 6.91019, 0, 0
69, 0.00000, 34.4365, 19.1866, 26.632, 22.8803, 29.6458, 7.59313, 0, 0
69, 1800.00000, 33.1886, 23.0194, 22.4417, 23.0218, 29.3549, 4.4967, 0, 0
70, 0.00000, 31.1071, 22.013, 24.2314, 18.0729, 29.889, 8.7606, 0, 0
70, 1800.00000, 32.618, 19.0511, 26.8422, 19.3947, 30.0112, 9.59471, 0, 0
71, 0.00000, 27.8587, 16.1086, 24.0825, 21.475, 24.0816, 10.7819, 0, 0
71, 1800.00000, 21.7136, 19.8196, 16.2567, 21.8132, 19.0277, 6.27427, 0, 0
72, 0.00000, 20.5265, 15.3959, 15.9449, 28.0848, 15.2326, 5.7485, 0, 0
72, 1800.00000, 13.8247, 14.3239, 11.6561, 25.3548, 10.7466, 9.26093, 0, 0
73, 0.00000, 11.6861, 22.7942, 8.15387, 25.7437, 9.9729, 6.12649, 0, 0
73, 1800.00000, 10.6545, 23.542, 6.66682, 29.9751, 8.58187, 2.23768, 0, 0
74, 0.00000, 13.3198, 25.1884, 7.338, 33.3399, 10.5177, -1.52312, 0, 0
74, 1800.00000, 12.9679, 25.9421, 6.9148, 33.4137, 10.3434, -2.00106, 0, 0
75, 0.00000, 10.5929, 23.8627, 6.28823, 32.1025, 8.32755, 0.252325, 0, 0
75, 1800.00000, 9.5113, 23.4122, 6.15148, 28.607, 7.80372, 3.52649, 0, 0
76, 0.00000, 11.7577, 27.8205, 6.62483, 26.358, 10.3821, 1.91945, 0, 0
76, 1800.00000, 12.3162, 27.8795, 7.04457, 25.5502, 10.9919, 2.46457, 0, 0
77, 0.00000, 9.61501, 22.0638, 6.48682, 28.9376, 7.72729, 4.26279, 0, 0
77, 1800.00000, 13.2287, 16.0606, 9.20135, 38.0109, 8.24834, -0.455754, 0, 0
78, 0.00000, 15.2913, 24.4748, 8.16863, 36.9557, 11.4897, -3.88045, 0, 0
78, 1800.00000, 19.0261, 25.2115, 9.74013, 37.7596, 14.3731, -4.81389, 0, 0
79, 0.00000, 24.0232, 29.8093, 10.473, 34.2094, 20.0831, -4.69589, 0, 0
79, 1800.00000, 24.8699, 28.3533, 12.1779, 32.0218, 20.7811, -2.4435, 0, 0
