hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
48, 0.00000, 19.8717, 14.8873, 21.4297, 10.9346, 21.9079, 16.3664, 0, 0
48, 1800.00000, 18.0545, 14.5338, 17.9815, 14.6943, 17.9745, 14.4125, 0, 0
49, 0.00000, 14.3825, 14.5815, 14.3948, 14.4896, 14.4086, 14.5776, 0, 0
49, 1800.00000, 8.45917, 18.2105, 8.45913, 18.2108, 8.45911, 18.2105, 0, 0
50, 0.00000, 8.17304, 18.2133, 8.17304, 18.2133, 8.17304, 18.2133, 0, 0
50, 1800.00000, 7.71543, 18.2129, 7.71543, 18.2129, 7.71543, 18.2129, 0, 0
51, 0.00000, 7.0964, 18.2118, 7.0964, 18.2118, 7.0964, 18.2118, 0, 0
51, 1800.00000, 8.79516, 18.2452, 8.79982, 18.2104, 8.80211, 18.2541, 0, 0
52, 0.00000, 9.36731, 18.2219, 9.36731, 18.2218, 9.36732, 18.2218, 0, 0
52, 1800.00000, 8.80879, 18.2105, 8.86506, 17.8708, 8.88233, 18.3543, 0, 0
53, 0.00000, 9.35911, 18.2128, 10.997, 9.61113, 11.5489, 20.637, 0, 0
53, 1800.00000, 10.5977, 18.2151, 11.0949, 15.5281, 11.2911, 19.0257, 0, 0
54, 0.00000, 13.738, 18.2154, 13.745, 18.2216, 13.7402, 18.2438, 0, 0
54, 1800.00000, 12.9268, 18.2184, 12.9268, 18.2184, 12.9268, 18.2185, 0, 0
55, 0.00000, 16.1527, 18.2252, 16.1527, 18.2252, 16.1527, 18.2252, 0, 0
55, 1800.00000, 20.6252, 18.6732, 20.6792, 18.47, 20.7155, 18.7008, 0, 0
56, 0.00000, 25.5103, 19.7635, 25.896, 19.7677, 25.703, 20.5115, 0, 0
56, 1800.00000, 23.1215, 21.5865, 23.5395, 21.279, 23.4408, 22.317, 0, 0
57, 0.00000, 11.3838, 30.1155, 14.0479, 27.2288, 13.4572, 38.4019, 0, 0
57, 1800.00000, 5.38933, 58.5425, 8.08405, 39.8961, 8.78689, 62.948, 0, 0
58, 0.00000, 4.90676, 119.24, 5.22785, 63.6407, 8.57516, 92.5893, 0, 0
58, 1800.00000, 7.62727, 155.081, 4.31483, 95.1727, 10.4656, 116.018, 0, 0
59, 0.00000, 14.1314, 172.534, 7.8053, 162.787, 13.5671, 145.183, 0, 0
59, 1800.00000, 15.1029, 172.136, 8.09511, 161.84, 14.524, 143.767, 0, 0
60, 0.00000, 13.3169, 167.727, 6.66499, 150.117, 13.5455, 136.435, 0, 0
60, 1800.00000, 14.6075, 171.351, 7.55766, 157.142, 14.4975, 141.443, 0, 0
61, 0.00000, 13.4006, 169.07, 6.79255, 150.474, 13.7665, 137.981, 0, 0
61, 1800.00000, 13.2466, 170.263, 6.51642, 150.904, 13.633, 138.269, 0, 0
62, 0.00000, 12.0667, 170.189, 6.12393, 155.68, 11.9792, 139.69, 0, 0
62, 1800.00000, 7.40297, 161.53, 3.84688, 119.336, 9.03215, 126.127, 0, 0
63, 0.00000, 3.53548, 104.175, 5.02242, 35.0453, 7.75255, 74.3377, 0, 0
63, 1800.00000, 5.83166, 39.614, 10.2122, 22.8002, 10.5383, 50.2211, 0, 0
64, 0.00000, 7.76681, 25.741, 11.4971, 18.5181, 11.1039, 38.3809, 0, 0
64, 1800.00000, 15.7739, 19.412, 17.8684, 15.7563, 17.8273, 23.3137, 0, 0
65, 0.00000, 22.5486, 18.2873, 24.2322, 14.5655, 24.7302, 19.7387, 0, 0
65, 1800.00000, 29.2884, 17.5773, 31.7986, 14.113, 32.1907, 19.6459, 0, 0
66, 0.00000, 32.4317, 15.1316, 35.3678, 15.3998, 33.8507, 19.5873, 0, 0
66, 1800.00000, 32.4767, 13.3318, 35.1172, 16.8568, 32.0615, 19.2719, 0, 0
67, 0.00000, 35.3945, 13.33, 38.1393, 17.0705, 34.7499, 19.2131, 0, 0
67, 1800.00000, 32.5839, 15.3267, 34.8051, 16.2767, 33.2609, 19.1413, 0, 0
68, 0.00000, 35.0335, 16.4541, 35.0641, 16.2102, 35.1776, 16.3747, 0, 0
68, 1800.00000, 33.5486, 16.3738, 35.2213, 13.5645, 35.8557, 17.2476, 0, 0
69, 0.00000, 29.2943, 15.3537, 30.7856, 16.0138, 29.765, 18.1842, 0, 0
69, 1800.00000, 26.9078, 14.7194, 29.1566, 15.9023, 27.5951, 19.3901, 0, 0
70, 0.00000, 27.7272, 15.4262, 28.7718, 15.8772, 28.0694, 17.5065, 0, 0
70, 1800.00000, 29.6155, 16.1169, 29.5924, 15.9352, 29.6851, 15.9869, 0, 0
71, 0.00000, 25.9746, 15.7818, 24.9724, 17.8632, 24.6866, 14.7882, 0, 0
71, 1800.00000, 20.0784, 15.0298, 18.4904, 19.7447, 17.953, 12.8958, 0, 0
72, 0.00000, 17.6579, 13.503, 17.4809, 19.836, 15.8641, 16.1079, 0, 0
72, 1800.00000, 12.352, 10.6618, 12.9179, 20.3029, 10.7641, 18.2218, 0, 0
73, 0.00000, 9.82244, 17.5973, 9.86563, 18.3942, 9.72534, 18.2177, 0, 0
73, 1800.00000, 8.43361, 18.2147, 8.43363, 18.2154, 8.43353, 18.2152, 0, 0
74, 0.00000, 10.0185, 18.2205, 10.0185, 18.2205, 10.0185, 18.2205, 0, 0
74, 1800.00000, 9.6969, 18.2212, 9.6969, 18.2212, 9.6969, 18.2212, 0, 0
75, 0.00000, 8.15894, 18.2114, 8.15894, 18.2114, 8.15894, 18.2114, 0, 0
75, 1800.00000, 7.66817, 18.2001, 7.67511, 18.2114, 7.67033, 18.2507, 0, 0
76, 0.00000, 9.33373, 18.2049, 9.34071, 18.2144, 9.33589, 18.2468, 0, 0
76, 1800.00000, 9.86702, 18.2151, 9.86703, 18.2152, 9.86702, 18.2152, 0, 0
77, 0.00000, 7.80431, 18.2117, 7.80431, 18.2117, 7.80431, 18.2117, 0, 0
77, 1800.00000, 9.8503, 18.2149, 9.8503, 18.2149, 9.8503, 18.2149, 0, 0
78, 0.00000, 11.1234, 18.2168, 11.1185, 18.2441, 11.1164, 18.2088, 0, 0
78, 1800.00000, 13.6379, 18.2138, 13.64, 18.243, 13.633, 18.2362, 0, 0
79, 0.00000, 17.1216, 18.2234, 17.1216, 18.2235, 17.1215, 18.2235, 0, 0
79, 1800.00000, 18.3345, 18.3113, 18.3477, 18.2302, 18.3636, 18.3063, 0, 0
80, 0.00000, 21.5004, 18.7844, 21.776, 18.6409, 21.6859, 19.3433, 0, 0
80, 1800.00000, 18.901, 20.1336, 20.0763, 21.0361, 19.2481, 23.6344, 0, 0
81, 0.00000, 18.1669, 24.4305, 19.2372, 21.7624, 19.4702, 25.7872, 0, 0
81, 1800.00000, 19.0303, 25.8846, 20.6507, 21.3947, 21.2116, 27.3428, 0, 0
82, 0.00000, 14.1225, 29.9412, 17.7753, 24.8395, 17.4313, 37.5697, 0, 0
82, 1800.00000, 8.55632, 37.2004, 11.9006, 30.1073, 11.6405, 47.5141, 0, 0
83, 0.00000, 8.52332, 35.468, 11.7308, 35.021, 10.5638, 50.4659, 0, 0
83, 1800.00000, 4.87342, 87.9814, 6.0715, 44.5195, 8.6226, 71.1886, 0, 0
84, 0.00000, 6.41245, 55.9362, 7.94693, 37.4181, 9.16243, 54.1283, 0, 0
84, 1800.00000, 6.21277, 56.9141, 8.67036, 47.4297, 8.71748, 65.574, 0, 0
85, 0.00000, 4.02549, 128.884, 4.22023, 77.1292, 6.82564, 103.93, 0, 0
85, 1800.00000, 6.01236, 155.993, 3.7303, 79.9023, 9.0733, 112.56, 0, 0
86, 0.00000, 5.44546, 144.012, 4.5188, 48.5419, 9.73522, 95.1234, 0, 0
86, 1800.00000, 4.81722, 57.3677, 7.98588, 30.8523, 9.06963, 58.8535, 0, 0
87, 0.00000, 8.06276, 29.932, 12.3492, 18.2709, 12.4398, 40.3263, 0, 0
87, 1800.00000, 16.4497, 19.6489, 18.5642, 17.2963, 18.2124, 24.1757, 0, 0
88, 0.00000, 19.1187, 11.6662, 23.5775, 15.9104, 20.3444, 24.9768, 0, 0
