hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
49, 1800.00000, 10.9052, 22.8013, 6.73217, 32.1655, 8.43653, 0.910367, 0, 0
50, 0.00000, 10.5643, 25.8059, 5.98218, 30.4659, 8.69292, 0.289599, 0, 0
50, 1800.00000, 10.1966, 29.5152, 4.97331, 29.2244, 8.85994, -1.30354, 0, 0
51, 0.00000, 8.9882, 28.7744, 4.8694, 26.0663, 8.02493, 1.40749, 0, 0
51, 1800.00000, 11.4028, 26.176, 6.3662, 30.462, 9.42549, 0.106475, 0, 0
52, 0.00000, 12.3577, 21.3742, 7.65426, 34.9748, 8.99548, -0.563257, 0, 0
52, 1800.00000, 11.6236, 25.5737, 6.40387, 32.5183, 9.3122, -1.0746, 0, 0
53, 0.00000, 10.4304, 18.3966, 8.88828, 23.9185, 8.94947, 12.3435, 0, 0
53, 1800.00000, 13.8702, 24.0332, 8.11175, 32.6221, 10.8607, -0.230855, 0, 0
54, 0.00000, 16.0564, 27.318, 10.5917, 20.8553, 15.3077, 6.68828, 0, 0
54, 1800.00000, 15.0265, 25.3789, 10.3979, 22.2607, 13.8832, 7.29694, 0, 0
55, 0.00000, 22.8814, 29.3546, 9.95137, 35.808, 18.7805, -5.4069, 0, 0
55, 1800.00000, 27.6273, 27.571, 14.342, 32.0916, 22.825, -1.23209, 0, 0
56, 0.00000, 32.8829, 31.6626, 17.2313, 26.617, 30.0325, 3.0033, 0, 0
56, 1800.00000, 29.9366, 37.8775, 13.9134, 22.2375, 29.7428, 4.79667, 0, 0
57, 0.00000, 18.1003, 45.2857, 7.31527, 46.2339, 15.6612, 8.89032, 0, 0
57, 1800.00000, 10.6003, 59.1167, 5.30382, 79.0365, 7.38318, 26.6664, 0, 0
58, 0.00000, 10.764, 91.7421, 5.39244, 143.101, 5.49699, 40.2044, 0, 0
58, 1800.00000, 8.77005, 117.91, 7.3293, 142.243, 5.11869, 114.508, 0, 0
59, 0.00000, 13.7527, 161.246, 10.4511, 169.499, 10.9689, 149.651, 0, 0
59, 1800.00000, 14.7589, 159.417, 11.2528, 169.805, 11.3645, 148.335, 0, 0
60, 0.00000, 13.2962, 150.676, 10.1631, 164.307, 9.67242, 140.15, 0, 0
60, 1800.00000, 12.7591, 162.66, 10.4219, 156.697, 12.7676, 150.851, 0, 0
61, 0.00000, 13.017, 156.701, 9.40673, 160.616, 11.0097, 141.831, 0, 0
61, 1800.00000, 12.5437, 162.138, 8.43063, 156.482, 11.8801, 142.402, 0, 0
62, 0.00000, 10.9655, 170.201, 7.7252, 149.239, 12.3781, 148.249, 0, 0
62, 1800.00000, 6.03866, 150.417, 6.47008, 129.237, 8.14495, 142.142, 0, 0
63, 0.00000, 3.82417, 95.3712, 5.28643, 92.2677, 4.92765, 108.475, 0, 0
63, 1800.00000, 9.45959, 35.4377, 8.2014, 60.5306, 5.43399, 35.2266, 0, 0
64, 0.00000, 10.8642, 25.399, 9.21269, 44.9809, 7.10932, 22.6036, 0, 0
64, 1800.00000, 19.6682, 33.0008, 10.8872, 24.6868, 18.6409, 5.86145, 0, 0
65, 0.00000, 28.1512, 30.6232, 15.329, 22.515, 26.5858, 2.95989, 0, 0
65, 1800.00000, 34.1678, 21.3948, 25.3456, 25.638, 28.9238, 7.85095, 0, 0
66, 0.00000, 36.6662, 21.434, 26.7807, 26.2532, 30.6919, 7.23031, 0, 0
66, 1800.00000, 33.3446, 19.4451, 27.8495, 23.3578, 29.1919, 11.8281, 0, 0
67, 0.00000, 39.0509, 20.3216, 28.7754, 27.5835, 31.5336, 6.95487, 0, 0
67, 1800.00000, 38.199, 22.6012, 25.6622, 28.2094, 31.2803, 4.48207, 0, 0
68, 0.00000, 38.4632, 22.758, 25.8656, 27.8813, 31.7169, 4.6392, 0, 0
68, 1800.00000, 36.0485, 21.8382, 25.4601, 27.1522, 29.8058, 6.07056, 0, 0
69, 0.00000, 32.2547, 21.8767, 23.1085, 26.4533, 27.0111, 6.69481, 0, 0
69, 1800.00000, 31.9342, 26.2013, 18.9517, 27.3884, 27.4536, 2.41589, 0, 0
70, 0.00000, 28.5914, 25.0609, 20.6152, 21.3, 26.871, 8.54815, 0, 0
70, 1800.00000, 28.9267, 21.305, 23.2692, 22.4502, 26.1264, 10.9892, 0, 0
71, 0.00000, 24.13, 18.4342, 21.3796, 22.309, 21.5529, 13.9035, 0, 0
71, 1800.00000, 18.0937, 23.6823, 14.1311, 20.3672, 17.2504, 10.7328, 0, 0
