hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
53, 0.00000, 10.4374, 18.4049, 8.88822, 23.9185, 8.95475, 12.3129, 0, 0
53, 1800.00000, 13.8773, 24.0367, 8.1117, 32.6222, 10.8669, -0.249512, 0, 0
54, 0.00000, 16.0636, 27.3196, 10.5916, 20.8554, 15.3135, 6.67238, 0, 0
54, 1800.00000, 15.0265, 25.3789, 10.3979, 22.2607, 13.8832, 7.29694, 0, 0
55, 0.00000, 22.8814, 29.3546, 9.95137, 35.808, 18.7805, -5.4069, 0, 0
55, 1800.00000, 28.0757, 27.113, 14.7177, 31.4383, 23.238, -1.33099, 0, 0
56, 0.00000, 35.4847, 29.6309, 19.4019, 23.7485, 32.791, 2.31369, 0, 0
56, 1800.00000, 34.2582, 33.1707, 18.0821, 17.5146, 34.579, 3.58245, 0, 0
57, 0.00000, 28.0664, 30.6879, 14.5953, 23.4591, 26.1692, 1.6296, 0, 0
57, 1800.00000, 23.4246, 26.9859, 14.0607, 25.3208, 20.8413, 3.4223, 0, 0
58, 0.00000, 24.0358, 32.0092, 11.9959, 22.1528, 22.8867, 1.47661, 0, 0
58, 1800.00000, 23.0289, 27.0663, 13.2044, 27.157, 20.0091, 1.89509, 0, 0
59, 0.00000, 14.8661, 26.9999, 9.78107, 21.5065, 14.0062, 6.45154, 0, 0
59, 1800.00000, 16.7249, 27.8194, 10.5411, 21.6495, 15.7663, 5.5225, 0, 0
60, 0.00000, 19.8197, 27.691, 12.4775, 21.943, 18.5926, 5.41541, 0, 0
60, 1800.00000, 18.0762, 20.8603, 13.1488, 27.366, 14.7329, 6.72372, 0, 0
61, 0.00000, 18.5491, 24.998, 13.2283, 21.7648, 17.2703, 8.14976, 0, 0
61, 1800.00000, 17.3238, 22.2347, 13.6166, 22.0837, 15.8384, 10.4603, 0, 0
62, 0.00000, 14.978, 16.6562, 12.7455, 26.1767, 11.9964, 11.728, 0, 0
62, 1800.00000, 16.7793, 18.9606, 12.6122, 28.7578, 13.0331, 7.02306, 0, 0
63, 0.00000, 17.683, 20.3744, 13.0584, 27.4127, 14.3256, 7.08799, 0, 0
63, 1800.00000, 21.2002, 20.3128, 14.6633, 30.7173, 16.1813, 3.98599, 0, 0
64, 0.00000, 18.0759, 19.2627, 13.384, 28.9788, 14.0321, 6.49349, 0, 0
64, 1800.00000, 22.0916, 30.5637, 12.766, 19.7676, 21.5866, 4.50417, 0, 0
65, 0.00000, 28.4213, 30.4806, 15.5405, 21.9614, 26.9622, 2.90731, 0, 0
65, 1800.00000, 34.1678, 21.3949, 25.3456, 25.638, 28.9239, 7.85089, 0, 0
66, 0.00000, 36.6809, 21.4383, 26.7804, 26.2534, 30.7041, 7.2136, 0, 0
66, 1800.00000, 33.3446, 19.4451, 27.8495, 23.3578, 29.1919, 11.8281, 0, 0
67, 0.00000, 39.0509, 20.3216, 28.7754, 27.5835, 31.5336, 6.95487, 0, 0
67, 1800.00000, 38.199, 22.6012, 25.6622, 28.2094, 31.2803, 4.48207, 0, 0
